block,hospitals_within_circle
block_no :960,79.0
block_no :961,64.0
block_no :962,84.0
block_no :963,62.0
block_no :964,27.0
block_no :965,23.0
block_no :966,23.0
block_no :967,31.0
block_no :968,32.0
block_no :969,36.0
block_no :970,30.0
block_no :971,35.0
block_no :972,32.0
block_no :973,33.0
block_no :974,35.0
block_no :975,34.0
block_no :976,34.0
block_no :977,36.0
block_no :978,35.0
block_no :979,36.0
block_no :980,37.0
block_no :981,35.0
block_no :982,38.0
block_no :983,38.0
block_no :984,34.0
block_no :985,35.0
block_no :986,36.0
block_no :987,37.0
block_no :988,38.0
block_no :989,39.0
block_no :990,39.0
block_no :991,50.0
block_no :992,45.0
block_no :993,47.0
block_no :994,50.0
block_no :995,53.0
block_no :996,51.0
block_no :997,56.0
block_no :998,62.0
block_no :999,56.0
block_no :1000,63.0
block_no :1001,40.0
block_no :1002,52.0
block_no :1003,46.0
block_no :1004,81.0
block_no :1005,59.0
block_no :1006,47.0
block_no :1007,70.0
block_no :1008,87.0
block_no :1009,78.0
block_no :1010,71.0
block_no :1011,61.0
block_no :1012,61.0
block_no :1013,93.0
block_no :1014,79.0
block_no :1015,81.0
block_no :1016,76.0
block_no :1017,47.0
block_no :1018,56.0
block_no :1019,41.0
block_no :1020,38.0
block_no :1021,47.0
block_no :1022,38.0
block_no :1023,37.0
block_no :1024,36.0
block_no :1025,32.0
block_no :1026,33.0
block_no :1027,36.0
block_no :1028,31.0
block_no :1029,32.0
block_no :1030,31.0
block_no :1031,36.0
block_no :1032,30.0
block_no :1033,30.0
block_no :1034,32.0
block_no :1035,37.0
block_no :1036,33.0
block_no :1037,32.0
block_no :1038,37.0
block_no :1039,39.0
block_no :1040,44.0
block_no :1041,42.0
block_no :1042,43.0
block_no :1043,62.0
block_no :1044,50.0
block_no :1045,38.0
block_no :1046,40.0
block_no :1047,41.0
block_no :1048,39.0
block_no :1049,38.0
block_no :1050,39.0
block_no :1051,37.0
block_no :1052,32.0
block_no :1053,38.0
block_no :1054,31.0
block_no :1055,34.0
block_no :1056,33.0
block_no :1057,26.0
block_no :1058,29.0
block_no :1059,29.0
block_no :1060,26.0
block_no :1061,27.0
block_no :1062,24.0
block_no :1063,28.0
block_no :1064,22.0
block_no :1065,18.0
block_no :1066,22.0
block_no :1067,22.0
block_no :1068,23.0
block_no :1069,26.0
block_no :1070,26.0
block_no :1071,32.0
block_no :1072,34.0
block_no :1073,31.0
block_no :1074,22.0
block_no :1075,24.0
block_no :1076,16.0
block_no :1077,21.0
block_no :1078,17.0
block_no :1079,16.0
block_no :1080,16.0
block_no :1081,17.0
block_no :1082,17.0
block_no :1083,17.0
block_no :1084,16.0
block_no :1085,17.0
block_no :1086,16.0
block_no :1087,7.0
block_no :1088,8.0
block_no :1089,9.0
block_no :1090,7.0
block_no :1091,26.0
block_no :1092,22.0
block_no :1093,22.0
block_no :1094,25.0
block_no :1095,21.0
block_no :1096,22.0
block_no :1097,22.0
block_no :1098,23.0
block_no :1099,23.0
block_no :1100,23.0
block_no :1101,23.0
block_no :1102,21.0
block_no :1103,21.0
block_no :1104,25.0
block_no :1105,25.0
block_no :1106,23.0
block_no :1107,22.0
block_no :1108,26.0
block_no :1109,24.0
block_no :1110,28.0
block_no :1111,26.0
block_no :1112,30.0
block_no :1113,29.0
block_no :1114,26.0
block_no :1115,34.0
block_no :1116,34.0
block_no :1117,30.0
block_no :1118,30.0
block_no :1119,27.0
block_no :1120,28.0
block_no :1121,27.0
block_no :1122,23.0
block_no :1123,23.0
block_no :1124,24.0
block_no :1125,25.0
block_no :1126,26.0
block_no :1127,23.0
block_no :1128,24.0
block_no :1129,27.0
block_no :1130,22.0
block_no :1131,22.0
block_no :1132,23.0
block_no :1133,23.0
block_no :1134,22.0
